@relation SpeciesRelation

@attribute bin_0 numeric
@attribute bin_1 numeric
@attribute bin_2 numeric
@attribute bin_3 numeric
@attribute bin_4 numeric
@attribute bin_5 numeric
@attribute bin_6 numeric
@attribute bin_7 numeric
@attribute bin_8 numeric
@attribute bin_9 numeric
@attribute species_class {'African Wildcat','Aria Chicken','Basking Shark','Black Rohu','Blacktip shark','Blue shark','Bull shark',Catla,Cheetah,'Common Carp','Domestic Cat',Fish,'Freshwater Shark','Grass Carp','Hammerhead Shark',Jaguar,'Lemon Shark',Leopard,Lion,'Long-whiskered Catfish','Lucifer Chicken','Mako Shark','Mirror Carp',Mrigal,'Nile Tilapia',Nurse,'Popcorn Chicken',Puma,'Puma Concolor',Rohu,'Sand Cat','Sand tiger Shark',Shark,'Silver Carp','Snow leopard','Striped Catfish','Thresher Shark',Tiger,Whale,'White Shark','Whitetip Shark'}

@data
0.82,0.05,0.01,0.02,0.02,0,0.03,0.04,0,0.01,'Whitetip Shark'
0.94,0.02,0,0.01,0.02,0,0,0,0.01,0,'Whitetip Shark'
0.63,0.28,0.05,0,0,0.01,0.02,0,0,0.01,'Whitetip Shark'
0.72,0.16,0,0.01,0.03,0,0.02,0.02,0.04,0,'Whitetip Shark'
0.3,0.2,0.34,0.03,0.05,0.05,0.01,0.01,0.01,0,Whale
0.89,0.06,0.01,0.01,0,0.01,0.01,0.01,0,0,'Whitetip Shark'
0.42,0.34,0.05,0.04,0.08,0.03,0.04,0,0,0,'Whitetip Shark'
0.53,0.16,0.08,0.1,0.06,0.02,0.02,0.01,0.02,0,'White Shark'
0.05,0.09,0.17,0.14,0.22,0.13,0,0.06,0.06,0.08,'Whitetip Shark'
0.32,0.41,0.11,0.05,0.01,0.02,0.04,0.03,0,0.01,'Whitetip Shark'
0.82,0.06,0.05,0.03,0.03,0,0,0.01,0,0,'Whitetip Shark'
0.85,0.07,0.03,0.03,0,0,0.01,0,0.01,0,'Whitetip Shark'
0.43,0.19,0.21,0.08,0.03,0.04,0.01,0.01,0,0,Whale
0.55,0.19,0.09,0.06,0.05,0.01,0.01,0.02,0.02,0,'White Shark'
0.94,0.05,0.01,0,0,0,0,0,0,0,'Whitetip Shark'
0.42,0.25,0.09,0.04,0.08,0.07,0.03,0,0.02,0,'Whitetip Shark'
0.82,0.04,0.02,0.04,0.02,0.05,0.01,0,0,0,'Whitetip Shark'
0.9,0.02,0,0,0.02,0.02,0.02,0.01,0.01,0,'Whitetip Shark'
0.9,0.05,0.02,0.01,0,0.01,0,0,0.01,0,'White Shark'
0.54,0.3,0.07,0,0.03,0.02,0.02,0.01,0.01,0,'Whitetip Shark'
0.2,0.11,0.1,0.17,0.17,0.06,0.06,0.06,0.06,0.01,'Whitetip Shark'
0.37,0.11,0.12,0.13,0.07,0.08,0.06,0.05,0.01,0,'Whitetip Shark'
0.84,0.08,0.01,0.01,0.01,0.04,0,0,0.01,0,'Whitetip Shark'
0.88,0.05,0.03,0,0,0.01,0.01,0.01,0,0.01,'White Shark'
0.39,0.24,0.24,0.12,0.01,0,0,0,0,0,Tiger
0.78,0.17,0.03,0,0.01,0.01,0,0,0,0,'White Shark'
0.35,0.16,0.09,0.11,0.13,0.08,0.05,0.02,0,0.01,'White Shark'
