@relation SpeciesRelation

@attribute bin_0 numeric
@attribute bin_1 numeric
@attribute bin_2 numeric
@attribute bin_3 numeric
@attribute bin_4 numeric
@attribute bin_5 numeric
@attribute bin_6 numeric
@attribute bin_7 numeric
@attribute bin_8 numeric
@attribute bin_9 numeric
@attribute species_class {'African Wildcat','Aria Chicken','Basking Shark','Black Rohu','Blacktip shark','Blue shark','Bull shark',Catla,Cheetah,'Common Carp','Domestic Cat',Fish,'Freshwater Shark','Grass Carp','Hammerhead Shark',Jaguar,'Lemon Shark',Leopard,Lion,'Long-whiskered Catfish','Lucifer Chicken','Mako Shark','Mirror Carp',Mrigal,'Nile Tilapia',Nurse,'Popcorn Chicken',Puma,'Puma Concolor',Rohu,'Sand Cat','Sand tiger Shark',Shark,'Silver Carp','Snow leopard','Striped Catfish','Thresher Shark',Tiger,Whale,'White Shark','Whitetip Shark'}

@data
0.5,0.32,0.09,0.06,0,0.01,0.01,0.01,0,0,'African Wildcat'
0.44,0.28,0.14,0.04,0.02,0.05,0.01,0.01,0.01,0,'African Wildcat'
0.67,0.22,0.04,0.01,0.01,0.02,0.01,0.02,0,0,'African Wildcat'
0.58,0.26,0.09,0.03,0.04,0,0,0,0,0,'African Wildcat'
0.54,0.22,0.12,0.07,0.02,0.03,0,0,0,0,'African Wildcat'
0.33,0.31,0.21,0.11,0.02,0,0.02,0,0,0,'African Wildcat'
0.54,0.29,0.03,0.01,0.04,0.03,0.03,0.02,0.01,0,'African Wildcat'
0.82,0.09,0.04,0.01,0.01,0.01,0.02,0,0,0,'African Wildcat'
0.29,0.36,0.18,0.11,0.06,0,0,0,0,0,'African Wildcat'
0.41,0.18,0.12,0.17,0.03,0.03,0.04,0.01,0,0.01,'Aria Chicken'
0.37,0.2,0.09,0.11,0.15,0.06,0.01,0.01,0,0,'Aria Chicken'
0.54,0.17,0.14,0.07,0.04,0.02,0.01,0,0,0.01,'Aria Chicken'
0.41,0.21,0.14,0.11,0.05,0.05,0.01,0.01,0.01,0,'Aria Chicken'
0.45,0.22,0.09,0.08,0.06,0.05,0.03,0.01,0.01,0,'Aria Chicken'
0.45,0.34,0.14,0.05,0.02,0,0,0,0,0,'Aria Chicken'
0.31,0.36,0.17,0.1,0.02,0.02,0.01,0,0.01,0,'Aria Chicken'
0.22,0.23,0.22,0.11,0.1,0.04,0.03,0.03,0.01,0.01,'Aria Chicken'
0.22,0.32,0.16,0.11,0.05,0.06,0.04,0.03,0.01,0,'Aria Chicken'
0.28,0.45,0.13,0.05,0.02,0,0.03,0.02,0,0.02,'Aria Chicken'
0.46,0.35,0.07,0.05,0.04,0.02,0,0.01,0,0,'Aria Chicken'
0.7,0.17,0.04,0.02,0.02,0.01,0,0.03,0.01,0,'Aria Chicken'
0.37,0.17,0.07,0.11,0.18,0.07,0.02,0,0,0.01,'Aria Chicken'
0.54,0.2,0.14,0.03,0.02,0.02,0.01,0.02,0.01,0.01,'Aria Chicken'
0.49,0.24,0.11,0.05,0.03,0.03,0.01,0.02,0.01,0.01,'Aria Chicken'
0.62,0.18,0.09,0.07,0.01,0.01,0.01,0,0,0.01,'Aria Chicken'
0.62,0.23,0.05,0.05,0.02,0.02,0,0,0,0.01,'Aria Chicken'
0.52,0.35,0.07,0.02,0.02,0,0.01,0,0.01,0,'Aria Chicken'
0.56,0.28,0.11,0.01,0.01,0.02,0.01,0,0,0,'Aria Chicken'
0.59,0.18,0.17,0.03,0,0.02,0,0.01,0,0,'Aria Chicken'
0.5,0.27,0.08,0.06,0.03,0.01,0,0.02,0.02,0.01,'Aria Chicken'
0.51,0.13,0.08,0.08,0.07,0.06,0.03,0.04,0,0,'Aria Chicken'
0.54,0.18,0.07,0.06,0.07,0.02,0.01,0.04,0,0.01,'Aria Chicken'
0.45,0.18,0.13,0.17,0.02,0.01,0.01,0.02,0.01,0,'Aria Chicken'
0.43,0.19,0.1,0.11,0.07,0.05,0.02,0.01,0.02,0,'Aria Chicken'
0.5,0.23,0.14,0.09,0.03,0.01,0,0,0,0,'Aria Chicken'
0.45,0.25,0.15,0.06,0.02,0.04,0.01,0.01,0.01,0,'Aria Chicken'
0.45,0.2,0.17,0.12,0.01,0.01,0.01,0.01,0.01,0.01,'Aria Chicken'
0.44,0.29,0.11,0.1,0.01,0.03,0.02,0,0,0,'Aria Chicken'
0.43,0.28,0.17,0.06,0.03,0.03,0,0,0,0,'Aria Chicken'
0.39,0.23,0.23,0.05,0.01,0.06,0.02,0.01,0,0,'Aria Chicken'
0.77,0.13,0.07,0.02,0.01,0,0,0,0,0,'Aria Chicken'
0.65,0.25,0.05,0.03,0.01,0.01,0,0,0,0,'Aria Chicken'
0.71,0.18,0.07,0.02,0,0.01,0,0,0.01,0,'Aria Chicken'
0.38,0.16,0.06,0.13,0.19,0.06,0.01,0.01,0,0,'Aria Chicken'
0.61,0.23,0.1,0.01,0.02,0.03,0,0,0,0,'Aria Chicken'
0.57,0.1,0.11,0.08,0.06,0.05,0.01,0.01,0.01,0,'Aria Chicken'
0.64,0.1,0.12,0.06,0.02,0.03,0.02,0,0,0.01,'Aria Chicken'
0.61,0.1,0.1,0.08,0.06,0.02,0,0.02,0.01,0,'Aria Chicken'
0.59,0.19,0.13,0.03,0.01,0.02,0.02,0.01,0,0,'Aria Chicken'
0.68,0.15,0.1,0.01,0.01,0,0.02,0.01,0.01,0.01,'Aria Chicken'
0.77,0.08,0.04,0.04,0.03,0.01,0.01,0.02,0,0,'Aria Chicken'
0.62,0.12,0.06,0.07,0.06,0.03,0.01,0.01,0.02,0,'Aria Chicken'
0.68,0.12,0.09,0.06,0.02,0.01,0.01,0,0,0.01,'Aria Chicken'
0.48,0.24,0.12,0.06,0.06,0.01,0.01,0.01,0.01,0,'Aria Chicken'
0.27,0.21,0.14,0.15,0.09,0.06,0.05,0.02,0.01,0,'Aria Chicken'
0.51,0.29,0.13,0.03,0.03,0.01,0,0,0,0,'Aria Chicken'
0.59,0.18,0.12,0.04,0.05,0.01,0,0.01,0,0,'Aria Chicken'
0.63,0.18,0.1,0.05,0.01,0.02,0.01,0,0,0,'Aria Chicken'
0.63,0.19,0.09,0.03,0.04,0.01,0.01,0,0,0,'Aria Chicken'
0.56,0.19,0.11,0.07,0.05,0.01,0.01,0,0,0,'Aria Chicken'
0.52,0.19,0.14,0.06,0.04,0.02,0.01,0.01,0,0.01,'Aria Chicken'
0.51,0.21,0.17,0.04,0.02,0.01,0.03,0,0,0.01,'Aria Chicken'
0.45,0.24,0.17,0.06,0.05,0.02,0.01,0,0,0,'Aria Chicken'
0.5,0.26,0.1,0.06,0.04,0.01,0.02,0,0.01,0,'Aria Chicken'
0.47,0.27,0.15,0.07,0.03,0.01,0,0,0,0,'Aria Chicken'
0.43,0.22,0.14,0.1,0.06,0.03,0.01,0,0.01,0,'Aria Chicken'
0.46,0.21,0.13,0.09,0.09,0.02,0,0,0,0,'Aria Chicken'
0.49,0.19,0.11,0.09,0.04,0.04,0.03,0,0.01,0,'Aria Chicken'
0.52,0.25,0.08,0.05,0.04,0.02,0.02,0.01,0,0.01,'Aria Chicken'
0.63,0.23,0.06,0.03,0,0.02,0.02,0.01,0,0,'Aria Chicken'
0.47,0.2,0.14,0.08,0.04,0.03,0,0.02,0.01,0.01,'Aria Chicken'
0.39,0.14,0.14,0.2,0.08,0.02,0.01,0,0.01,0.01,'Aria Chicken'
0.46,0.28,0.11,0.06,0.03,0.03,0.01,0.01,0,0.01,'Aria Chicken'
0.61,0.24,0.06,0.04,0.03,0.01,0,0.01,0,0,'Aria Chicken'
0.45,0.36,0.09,0.08,0.01,0,0,0,0.01,0,'Aria Chicken'
0.64,0.14,0.08,0.04,0.05,0.03,0.01,0.01,0,0,'Aria Chicken'
0.72,0.11,0.07,0.04,0.02,0,0.03,0.01,0,0,'Aria Chicken'
0.64,0.12,0.04,0.09,0.04,0.02,0.02,0.02,0.01,0,'Aria Chicken'
0.73,0.1,0.07,0.05,0.03,0.02,0,0,0,0,'Aria Chicken'
0.59,0.2,0.09,0.06,0.03,0.03,0,0,0,0,'Aria Chicken'
0.38,0.26,0.15,0.1,0.03,0.03,0.02,0.01,0.01,0.01,'Aria Chicken'
0.58,0.19,0.07,0.04,0.06,0.06,0,0,0,0,'Aria Chicken'
0.39,0.18,0.16,0.11,0.1,0.04,0.01,0,0.01,0,'Aria Chicken'
0.48,0.23,0.12,0.07,0.03,0.04,0.02,0,0.01,0,'Aria Chicken'
0.62,0.18,0.07,0.05,0.03,0.02,0.02,0.01,0,0,'Aria Chicken'
0.74,0.17,0.06,0,0,0.02,0,0.01,0,0,'Aria Chicken'
0.77,0.07,0.1,0.02,0.03,0,0.01,0,0,0,'Aria Chicken'
0.73,0.07,0.09,0.04,0.03,0.02,0.01,0,0.01,0,'Aria Chicken'
0.72,0.08,0.06,0.04,0.05,0.03,0.01,0.01,0,0,'Aria Chicken'
0.79,0.08,0.05,0.04,0.02,0.01,0.01,0,0,0,'Aria Chicken'
0.73,0.11,0.07,0.04,0.03,0,0,0,0.01,0.01,'Aria Chicken'
0.7,0.09,0.06,0.07,0.05,0.02,0.01,0,0,0,'Aria Chicken'
0.59,0.22,0.06,0.05,0.05,0.02,0.01,0,0,0,'Aria Chicken'
0.38,0.14,0.12,0.08,0.06,0.07,0.04,0.05,0.05,0.01,'Aria Chicken'
0.4,0.31,0.12,0.08,0.04,0.03,0.01,0,0.01,0,'Aria Chicken'
0.57,0.18,0.14,0.05,0.01,0.01,0.02,0.01,0.01,0,'Aria Chicken'
0.63,0.16,0.07,0.08,0.04,0.02,0,0,0,0,'Aria Chicken'
0.59,0.2,0.12,0.05,0.03,0.01,0,0,0,0,'Aria Chicken'
0.56,0.24,0.06,0.08,0.03,0.03,0,0,0,0,'Aria Chicken'
0.6,0.18,0.1,0.06,0.04,0.02,0,0,0,0,'Aria Chicken'
0.56,0.18,0.1,0.09,0.04,0.02,0.01,0,0,0,'Aria Chicken'
0.63,0.2,0.08,0.05,0.03,0,0.01,0,0,0,'Aria Chicken'
0.57,0.22,0.12,0.03,0.02,0.02,0.01,0.01,0,0,'Aria Chicken'
0.5,0.16,0.09,0.1,0.04,0.02,0.05,0.03,0,0.01,'Aria Chicken'
0.55,0.25,0.15,0.01,0.02,0.01,0.01,0,0,0,'Aria Chicken'
0.48,0.16,0.17,0.08,0.07,0.03,0.01,0,0,0,'Aria Chicken'
0.67,0.25,0.02,0.03,0.01,0.01,0,0.01,0,0,'Aria Chicken'
0.72,0.19,0.03,0.05,0,0,0.01,0,0,0,'Aria Chicken'
0.72,0.09,0.03,0.04,0.03,0.04,0.04,0.01,0,0,'Aria Chicken'
0.72,0.09,0.04,0.07,0.04,0.02,0,0.02,0,0,'Aria Chicken'
0.74,0.09,0.09,0.07,0.01,0,0,0,0,0,'Aria Chicken'
0.77,0.09,0.08,0.04,0.02,0,0,0,0,0,'Aria Chicken'
0.78,0.08,0.06,0.06,0.02,0,0,0,0,0,'Aria Chicken'
0.57,0.19,0.14,0.08,0.01,0.01,0,0,0,0,'Aria Chicken'
0.45,0.21,0.1,0.14,0.03,0.03,0.03,0.01,0,0,'Aria Chicken'
0.48,0.13,0.18,0.13,0.05,0.02,0.01,0,0,0,'Aria Chicken'
0.32,0.28,0.1,0.11,0.08,0.03,0.02,0.02,0.02,0.02,'Aria Chicken'
0.52,0.2,0.13,0.03,0.05,0.02,0,0.01,0.03,0.01,'Aria Chicken'
0.67,0.21,0.06,0.04,0.02,0,0,0,0,0,'Aria Chicken'
0.86,0.09,0.02,0.01,0,0,0,0,0.02,0,'Aria Chicken'
0.9,0.07,0.02,0.01,0,0,0,0,0,0,'Aria Chicken'
0.52,0.27,0.08,0.06,0.03,0.01,0.02,0.01,0,0,'Aria Chicken'
0.56,0.15,0.14,0.08,0.03,0.02,0,0.01,0.01,0,'Aria Chicken'
0.54,0.14,0.14,0.08,0.05,0.02,0.01,0.02,0,0,'Aria Chicken'
0.52,0.2,0.15,0.06,0.02,0.02,0.02,0.01,0,0,'Aria Chicken'
0.44,0.11,0.1,0.07,0.09,0.11,0.05,0.02,0,0.01,'Aria Chicken'
0.51,0.15,0.14,0.11,0.06,0.01,0.01,0,0,0.01,'Aria Chicken'
0.53,0.25,0.12,0.03,0.01,0.01,0.01,0.03,0,0.01,'Aria Chicken'
0.63,0.18,0.07,0.02,0.02,0.04,0,0.01,0.02,0.01,'Aria Chicken'
0.62,0.09,0.12,0.08,0.04,0.04,0,0.01,0,0,'Aria Chicken'
0.71,0.08,0.15,0.03,0.01,0.02,0,0,0,0,'Aria Chicken'
0.53,0.2,0.18,0.05,0.03,0.01,0,0,0,0,'Aria Chicken'
0.52,0.18,0.18,0.11,0,0,0,0.01,0,0,'Aria Chicken'
0.46,0.22,0.29,0.01,0.01,0,0,0.01,0,0,'Aria Chicken'
0.22,0.33,0.16,0.11,0.12,0.05,0.01,0,0,0,'Aria Chicken'
0.21,0.35,0.15,0.13,0.09,0.06,0,0.01,0,0,'Aria Chicken'
0.55,0.22,0.13,0.07,0.01,0.01,0,0,0,0.01,'Aria Chicken'
0.48,0.18,0.12,0.1,0.07,0.04,0,0,0.01,0,'Aria Chicken'
0.38,0.16,0.1,0.12,0.09,0.04,0.04,0.02,0.03,0.02,'Aria Chicken'
0.54,0.02,0.09,0.06,0.13,0.07,0.05,0.03,0.01,0,'Aria Chicken'
0.7,0.16,0.02,0.03,0.04,0.05,0,0,0,0,'Aria Chicken'
0.6,0.21,0.06,0.04,0.03,0.01,0.02,0.02,0.01,0,'Aria Chicken'
0.3,0.38,0.17,0.06,0.03,0.03,0.01,0.01,0.01,0,'Aria Chicken'
0.37,0.3,0.12,0.06,0.04,0.03,0.04,0.03,0.01,0,'Aria Chicken'
0.33,0.19,0.08,0.09,0.08,0.08,0.04,0.04,0.05,0.02,'Aria Chicken'
0.41,0.33,0.15,0.04,0.04,0.01,0,0,0.01,0.01,'Aria Chicken'
0.43,0.34,0.12,0.06,0.01,0.02,0,0.01,0.01,0,'Aria Chicken'
0.44,0.29,0.14,0.08,0.01,0.01,0,0.02,0,0.01,'Aria Chicken'
0.41,0.13,0.11,0.15,0.15,0.03,0.01,0,0.01,0,'Aria Chicken'
0.47,0.3,0.11,0.07,0,0,0.02,0.02,0,0.01,'Aria Chicken'
0.53,0.07,0.04,0.05,0.07,0.1,0.05,0.04,0.04,0.01,'Aria Chicken'
0.57,0.19,0.16,0.06,0,0.01,0,0,0.01,0,'Aria Chicken'
0.62,0.19,0.1,0.06,0.01,0.01,0,0,0.01,0,'Aria Chicken'
0.52,0.22,0.15,0.08,0.01,0.01,0,0.01,0,0,'Aria Chicken'
0.58,0.2,0.13,0.05,0.03,0,0.01,0,0,0,'Aria Chicken'
0.7,0.16,0.05,0.06,0.01,0.01,0,0,0.01,0,'Aria Chicken'
0.65,0.17,0.09,0.05,0.02,0.01,0,0,0.01,0,'Aria Chicken'
0.52,0.19,0.18,0.04,0.02,0.02,0.01,0.01,0.01,0,'Aria Chicken'
0.56,0.2,0.11,0.07,0.03,0.01,0.01,0,0.01,0,'Aria Chicken'
0.39,0.29,0.13,0.04,0.05,0.02,0.03,0.02,0.02,0.01,'Black Rohu'
0.56,0.19,0.07,0.03,0.04,0.03,0.04,0.01,0.03,0,'Black Rohu'
0.53,0.28,0.02,0.02,0.06,0.02,0.04,0.02,0,0.01,'Black Rohu'
0.61,0.17,0.04,0.06,0.02,0.06,0.02,0.02,0,0,'Black Rohu'
0.75,0.06,0.06,0.03,0.04,0.04,0.02,0,0,0,'Black Rohu'
0.79,0.06,0.04,0,0.03,0.01,0.04,0.02,0.01,0,'Black Rohu'
0.75,0.04,0.07,0.04,0.03,0.02,0.02,0.02,0.01,0,'Black Rohu'
0.64,0.17,0.03,0.04,0.02,0.02,0.03,0.02,0.01,0.02,'Black Rohu'
0.22,0.2,0.14,0.21,0.06,0.04,0.02,0.06,0.02,0.03,'Black Rohu'
0.79,0.08,0.02,0.01,0.03,0.02,0.02,0.01,0.01,0.01,'Black Rohu'
0.6,0.2,0.02,0.05,0.02,0.01,0.04,0.02,0.03,0.01,'Black Rohu'
0.34,0.21,0.12,0.15,0.03,0.02,0.03,0.04,0.06,0,'Black Rohu'
0.81,0.04,0.01,0.02,0.03,0.05,0.03,0,0.01,0,'Black Rohu'
0.79,0.05,0.04,0.01,0.02,0.02,0.04,0.01,0.02,0,'Black Rohu'
0.78,0.06,0.04,0.01,0.04,0.01,0.04,0.01,0.01,0,'Black Rohu'
0.66,0.18,0.03,0.05,0.02,0.02,0,0.01,0.02,0.01,'Black Rohu'
0.8,0.06,0.03,0.01,0.02,0.01,0.02,0.02,0.03,0,'Black Rohu'
0.8,0.06,0.03,0.03,0.03,0,0.01,0.01,0.02,0.01,'Black Rohu'
0.44,0.37,0.04,0.03,0.05,0.02,0.01,0.01,0.02,0.01,'Black Rohu'
0.85,0.03,0.03,0,0.02,0.02,0.01,0.02,0.02,0,'Black Rohu'
0.75,0.1,0.02,0.03,0.02,0.04,0,0.01,0.02,0.01,'Black Rohu'
0.41,0.43,0.03,0.05,0.02,0.01,0.01,0.02,0.01,0.01,'Black Rohu'
0.8,0.06,0.02,0.02,0.04,0.03,0.02,0.01,0,0,'Black Rohu'
0.71,0.1,0.07,0.01,0.05,0.03,0.02,0,0.01,0,'Black Rohu'
0.36,0.35,0.14,0.08,0.03,0.01,0.01,0,0.01,0.01,'Black Rohu'
0.66,0.15,0.04,0.04,0.02,0.04,0.04,0.01,0,0,'Black Rohu'
0.76,0.04,0.02,0.05,0.07,0.02,0.03,0,0.01,0,'Black Rohu'
0.75,0.05,0.03,0.05,0.08,0.01,0,0.02,0.01,0,'Black Rohu'
0.81,0.04,0.04,0.03,0.01,0.03,0.03,0.01,0,0,'Black Rohu'
0.33,0.18,0.2,0.07,0.09,0.04,0.02,0.04,0.02,0.01,'Black Rohu'
0.81,0.03,0.06,0.05,0.02,0.01,0.01,0.01,0,0,'Black Rohu'
0.78,0.11,0.02,0.03,0.01,0.03,0,0,0.02,0,'Black Rohu'
0.79,0.06,0.06,0.03,0.01,0.01,0,0.03,0.01,0,'Black Rohu'
0.78,0.05,0.07,0.05,0.01,0.02,0.01,0,0.01,0,'Black Rohu'
0.58,0.22,0.06,0.05,0.03,0.04,0,0,0.01,0.01,'Black Rohu'
0.67,0.16,0.07,0.01,0.04,0.01,0.02,0.02,0,0,'Black Rohu'
0.81,0.03,0.06,0.03,0.02,0.01,0.01,0.01,0.01,0.01,'Black Rohu'
0.84,0.04,0.01,0.04,0,0.03,0,0.02,0.02,0,'Black Rohu'
0.79,0.05,0.02,0.03,0.02,0.02,0.02,0.03,0.01,0.01,'Black Rohu'
0.74,0.05,0.02,0.06,0.04,0.01,0.02,0.03,0.02,0.01,'Black Rohu'
0.71,0.1,0.03,0.02,0.02,0.02,0.06,0.03,0,0.01,'Black Rohu'
0.73,0.1,0.05,0.05,0.03,0.02,0.01,0.01,0,0,'Black Rohu'
0.85,0.07,0.03,0.02,0.01,0.01,0.01,0,0,0,'Black Rohu'
0.82,0.07,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0,'Black Rohu'
0.75,0.12,0.04,0.01,0.02,0.03,0.02,0.01,0,0,'Black Rohu'
0.83,0.04,0.03,0,0.01,0,0.04,0.03,0.01,0.01,'Black Rohu'
0.76,0.06,0.04,0.04,0.02,0.05,0.01,0.01,0,0.01,'Black Rohu'
0.5,0.33,0.02,0,0.03,0.04,0.05,0.02,0.01,0,'Black Rohu'
0.84,0.07,0.02,0.01,0.01,0.02,0.01,0.02,0,0,'Black Rohu'
0.86,0.05,0.02,0.03,0.02,0,0.01,0.01,0,0,'Black Rohu'
0.7,0.16,0.01,0.01,0,0.04,0.01,0.03,0.04,0,'Black Rohu'
0.82,0.04,0.02,0,0.03,0.03,0.02,0.03,0.01,0,'Black Rohu'
0.68,0.11,0.04,0.03,0.05,0.02,0.02,0.04,0,0.01,'Black Rohu'
0.69,0.08,0.08,0.04,0.04,0.01,0.05,0,0.01,0,'Black Rohu'
0.81,0.07,0.02,0.01,0.03,0.03,0.02,0,0,0.01,'Black Rohu'
0.74,0.06,0.09,0.02,0.04,0.03,0.01,0.01,0,0,'Black Rohu'
0.83,0.01,0.05,0.04,0.03,0.01,0.01,0.01,0.01,0,'Black Rohu'
0.81,0.03,0.05,0.02,0.02,0.03,0.02,0.02,0,0,'Black Rohu'
0.81,0.07,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.02,'Black Rohu'
0.86,0.1,0.01,0.02,0,0,0,0.01,0,0,'Black Rohu'
0.82,0.05,0.05,0.02,0.01,0.03,0.01,0,0.01,0,'Black Rohu'
0.81,0.09,0,0.01,0.04,0.01,0.03,0.01,0,0,'Black Rohu'
0.83,0.01,0.05,0.04,0.03,0.01,0.01,0.01,0.01,0,'Black Rohu'
0.75,0.11,0.04,0.02,0.02,0.01,0.02,0.02,0.01,0,'Black Rohu'
0.71,0.09,0.08,0.03,0.05,0.02,0,0.02,0,0,'Black Rohu'
0.82,0.07,0.03,0.01,0.03,0.01,0.01,0.01,0,0.01,'Black Rohu'
0.64,0.14,0.05,0.06,0.05,0.01,0.03,0.01,0.01,0,'Black Rohu'
0.82,0.06,0.01,0.01,0.01,0.02,0.03,0.02,0.01,0.01,'Black Rohu'
0.79,0.06,0.05,0.02,0.01,0.01,0.02,0,0.02,0.02,'Black Rohu'
0.71,0.08,0.07,0.06,0.04,0.02,0,0.01,0.01,0,'Black Rohu'
0.76,0.09,0.06,0.02,0.03,0.01,0,0.03,0,0,'Black Rohu'
0.72,0.11,0.09,0.04,0.01,0.01,0,0.01,0,0.01,'Black Rohu'
0.49,0.28,0.09,0.04,0.02,0.03,0.02,0.01,0.01,0.01,'Black Rohu'
0.73,0.15,0.02,0.01,0.01,0.03,0.01,0.03,0.01,0,'Black Rohu'
0.78,0.02,0.07,0.05,0.01,0.01,0.05,0.01,0,0,'Black Rohu'
0.76,0.06,0.04,0.05,0.04,0.01,0.02,0.02,0,0,'Black Rohu'
0.83,0.04,0.03,0.02,0.01,0.01,0.03,0.02,0.01,0,'Black Rohu'
0.74,0.08,0.02,0.04,0.02,0.03,0.02,0.04,0,0.01,'Black Rohu'
0.87,0.02,0,0.04,0.03,0,0.01,0.01,0.02,0,'Black Rohu'
0.7,0.08,0.07,0.07,0.03,0.02,0.01,0.02,0,0,'Black Rohu'
0.8,0.05,0.04,0.04,0.02,0.04,0.01,0,0,0,'Black Rohu'
0.8,0.06,0.05,0.01,0.02,0.03,0.01,0.01,0.01,0,'Black Rohu'
0.82,0.05,0.06,0.01,0.02,0.01,0.01,0,0.01,0.01,'Black Rohu'
0.82,0.03,0.07,0.02,0.01,0.01,0.01,0.02,0,0.01,'Black Rohu'
0.79,0.08,0.04,0.02,0.03,0,0.02,0.02,0,0,'Black Rohu'
0.82,0.05,0.05,0.01,0,0.03,0.02,0.01,0.01,0,'Black Rohu'
0.84,0.03,0.04,0.01,0.03,0.02,0.01,0.01,0.01,0,'Black Rohu'
0.77,0.09,0.02,0.04,0,0.03,0.01,0.01,0.02,0.01,'Black Rohu'
0.82,0.07,0.02,0.02,0,0.02,0.03,0.02,0,0,'Black Rohu'
0.77,0.04,0.04,0.04,0.03,0.03,0.02,0.01,0.01,0.01,'Black Rohu'
0.78,0.05,0.02,0.01,0.03,0.02,0.02,0.04,0.03,0,'Black Rohu'
0.7,0.12,0.03,0.02,0.04,0.01,0.04,0.02,0.01,0.01,'Black Rohu'
0.53,0.27,0.04,0.03,0.04,0.03,0.03,0,0.01,0.02,'Black Rohu'
0.79,0.05,0.04,0.02,0.03,0.03,0.03,0.01,0,0,'Black Rohu'
0.78,0.07,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0,'Black Rohu'
0.78,0.05,0.06,0.03,0.02,0.04,0.01,0.01,0,0,'Black Rohu'
0.78,0.05,0.03,0.05,0.01,0.04,0.02,0.01,0,0.01,'Black Rohu'
0.74,0.08,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0,'Black Rohu'
0.81,0.06,0.01,0.03,0.05,0.02,0.01,0.01,0,0,'Black Rohu'
0.77,0.08,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.01,'Black Rohu'
0.72,0.1,0.06,0.04,0.01,0.03,0,0.02,0.01,0.01,'Black Rohu'
0.78,0.09,0.06,0.04,0.01,0.01,0,0.01,0,0,'Black Rohu'
0.77,0.13,0.04,0.03,0.02,0,0.01,0,0,0,'Black Rohu'
0.76,0.07,0.05,0.03,0.02,0.02,0.02,0.01,0.01,0.01,'Black Rohu'
0.65,0.16,0.04,0.04,0.03,0.03,0.03,0.01,0,0.01,'Black Rohu'
0.81,0.03,0.06,0.05,0.01,0,0.01,0.01,0.01,0.01,'Black Rohu'
0.72,0.15,0.03,0.02,0.04,0.02,0.01,0,0.01,0,'Black Rohu'
0.61,0.2,0.05,0.04,0.03,0.01,0.01,0.01,0.03,0.01,'Black Rohu'
0.8,0.11,0.03,0.01,0,0.01,0.02,0.01,0,0.01,'Black Rohu'
0.69,0.1,0.05,0.04,0,0.03,0.03,0.01,0.03,0.02,'Black Rohu'
0.75,0.1,0.07,0.02,0.01,0.02,0.02,0.01,0,0,'Black Rohu'
0.72,0.15,0.02,0.01,0.05,0.01,0.01,0.01,0.01,0.01,'Black Rohu'
0.73,0.1,0.03,0.04,0.04,0,0.03,0.01,0.01,0.01,'Black Rohu'
0.71,0.11,0.05,0.06,0.03,0.02,0,0.02,0,0,'Black Rohu'
0.67,0.17,0.04,0.02,0.07,0.01,0,0.01,0.01,0,'Black Rohu'
0.56,0.28,0.03,0.03,0.02,0.02,0.01,0.02,0.03,0,'Black Rohu'
0.71,0.14,0.06,0.02,0.02,0.03,0,0.01,0.01,0,'Black Rohu'
0.84,0.05,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,'Black Rohu'
0.79,0.06,0.04,0.01,0.04,0.03,0.01,0,0.02,0,'Black Rohu'
0.59,0.21,0.04,0.06,0.02,0.06,0.01,0.01,0,0,'Black Rohu'
0.85,0.04,0.04,0.03,0,0.01,0.01,0,0.02,0,Fish
0.82,0.04,0.02,0.05,0.02,0.02,0.02,0,0.01,0,Fish
0.81,0.13,0.01,0.02,0,0.01,0.01,0.01,0,0,Fish
0.52,0.25,0.07,0.03,0.04,0.01,0.04,0.02,0.02,0,Fish
0.56,0.25,0.06,0.03,0.03,0.02,0.03,0.02,0,0,Catla
0.74,0.09,0.08,0.03,0.02,0.03,0.01,0,0,0,Catla
0.84,0.07,0.02,0,0.01,0.02,0.01,0.01,0.01,0.01,Catla
0.79,0.06,0.05,0.04,0.02,0.02,0.01,0,0.01,0,Catla
0.69,0.16,0.02,0.02,0.01,0.01,0.05,0.02,0.02,0,Catla
0.82,0.06,0.02,0.01,0.03,0.02,0,0.01,0.01,0.02,Catla
0.6,0.22,0.02,0.03,0.03,0.04,0.03,0.02,0.01,0,Fish
0.39,0.43,0.03,0.07,0.02,0.03,0.01,0.01,0.01,0,Catla
0.8,0.07,0.01,0.05,0,0.02,0.03,0,0.02,0,Catla
0.78,0.07,0.05,0.03,0.04,0.02,0,0,0.01,0,Catla
0.62,0.28,0.06,0.03,0.01,0,0,0,0,0,Catla
0.66,0.1,0.05,0.06,0.04,0.05,0.03,0,0,0.01,Catla
0.84,0.05,0.04,0.01,0.01,0.01,0,0.02,0.01,0.01,Catla
0.8,0.07,0.04,0.03,0.04,0.01,0.01,0,0,0,Catla
0.77,0.08,0.02,0.04,0,0.02,0.02,0.03,0.01,0.01,Catla
0.75,0.11,0.04,0.04,0.01,0.03,0.01,0.01,0,0,Catla
0.82,0.07,0.04,0.02,0.03,0.01,0,0,0.01,0,Catla
0.85,0.06,0.04,0.02,0.01,0.01,0,0.01,0,0,Fish
